"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"10.1016/j.apcatb.2012.02.025","webcrawl____::8684a40babf318409ee4ae3233043a52","al o;catalyst exhausts;ce zr","Effect of periodic lean/rich switch on methane conversion over a Ce-Zr promoted Pd-Rh/Al2O3 catalyst in the exhausts of natural gas vehicles","Bounechada, Djamela","2012-01-01","ELSEVIER SCIENCE BV","publication","","APPLIED CATALYSIS B-ENVIRONMENTAL","","","218447","Closed Access","0.0963","-0.4318","2","Al o, Catalyst exhausts, Ce zr","Al o, Catalyst exhausts, Ce zr",22,NA,NA,"",""
"10.1016/j.jcat.2011.08.018","webcrawl____::ef1f6d0a51798bb58dfda6ac3c6fc56e","platinum catalysts;ceria supported;low temperature","Sulfur promoted low-temperature oxidation of methane over ceria supported platinum catalysts","Kylhammar, Lisa","2011-01-01","ACADEMIC PRESS INC ELSEVIER SCIENCE","publication","","JOURNAL OF CATALYSIS","","","218447","Closed Access","0.2161","0.349","1","Ceria supported, Oxidation of methane, Platinum catalysts","Ceria supported, Oxidation of methane, Platinum catalysts",15,"1","35","",""
"10.1039/c3cp44289f","webcrawl____::3712db5c55fea5c3157c1c807fdc061e","mechanisms sulfur;promoted oxidation","Mechanisms behind sulfur promoted oxidation of methane","Bounechada, Djamela","2013-01-01","ROYAL SOC CHEMISTRY","publication","","PHYSICAL CHEMISTRY CHEMICAL PHYSICS","","","218447","Closed Access","-0.3123","0.0827","1","Ceria supported, Oxidation of methane, Platinum catalysts","Ceria supported, Oxidation of methane, Platinum catalysts",16,NA,NA,"",""
